Year,NEFSC Fall,NEFSC Spring,MADMF Fall,MADMF Spring,NEAMAP Fall,NEAMAP Spring
1967,1.25,,,,,
1968,1,0.16,,,,
1969,0.61,0.16,,,,
1970,0.13,0.09,,,,
1971,0.27,0.28,,,,
1972,0.27,0.21,,,,
1973,0.63,0.54,,,,
1974,1.86,1.26,,,,
1975,2.48,1.61,,,,
1976,0.85,2,,,,
1977,1.75,1.74,,,,
1978,0.4,1.4,0.91,1.26,,
1979,0.94,0.35,0.28,0.64,,
1980,0.57,0.78,0.74,0.62,,
1981,0.72,0.8,0.67,1.11,,
1982,0.9,1.11,1.55,1.44,,
1983,0.47,0.53,0.94,1.16,,
1984,0.65,0.38,0.9,0.41,,
1985,0.87,1.2,1.84,0.97,,
1986,0.45,0.82,2.35,0.92,,
1987,0.28,0.38,1.27,0.54,,
1988,0.11,0.68,0.87,0.81,,
1989,0.08,0.24,0.49,0.43,,
1990,0.19,0.27,0.13,0.31,,
1991,0.17,0.35,0.94,0.06,,
1992,0.49,0.46,0.98,0.57,,
1993,0.04,0.48,1.15,0.57,,
1994,0.35,0.46,1.88,1.84,,
1995,0.83,0.46,0.98,1.16,,
1996,0.45,0.67,1.86,0.73,,
1997,0.92,0.61,1.96,1.27,,
1998,1.58,0.76,0.85,1.58,,
1999,1.66,1.01,1.47,1.84,,
2000,1.82,1.7,4.03,2.83,,
2001,1.55,2.16,2.1,1.93,,
2002,1.4,2.29,3.05,2.07,,
2003,1.93,2.42,3.1,2.04,,
2004,3.06,2.43,1.77,0.84,,
2005,1.83,1.59,4.62,2.15,,
2006,1.79,1.34,4.01,2.91,,
2007,2.45,3.17,1.46,1.64,2.62,
2008,1.62,1.38,1.41,0.67,1.69,1.9
2009,2.63,1.17,1.24,1.08,2.44,1.49
2010,1.37,1.57,1.41,0.84,1.99,1.27
2011,2.69,1.61,2.06,0.83,1.5,1.64
2012,1.77,1.63,1.04,0.73,1.82,0.77
2013,1.61,1.48,0.62,0.62,0.63,0.81
2014,2.18,1.21,1.25,0.53,0.86,0.92
2015,1.63,1.54,2.47,0.35,0.77,0.97
2016,2.06,0.94,2.33,1.62,0.64,0.84
2017,,0.82,2.48,2.06,0.65,0.46
2018,,1.53,,1.66,,
