"Year","avg","pred","loci","hici"
1968,0.16,0.208955106629241,-0.392838221836322,0.810748435094805
1969,0.16,0.0999071259305669,-0.26907567763898,0.468889929500114
1970,0.09,0.0784782842232783,-0.277506032064232,0.434462600510788
1971,0.28,0.150460380232696,-0.231454723886726,0.532375484352118
1972,0.21,0.30470539152023,-0.107754013689069,0.717164796729528
1973,0.54,0.644913051527399,0.2324536463181,1.0573724567367
1974,1.26,1.15944844401663,0.746989038807334,1.57190784922593
1975,1.61,1.66379640878448,1.25133700357518,2.07625581399378
1976,2,1.90986261027798,1.49740320506868,2.32232201548728
1977,1.74,1.71439359419155,1.30193418898225,2.12685299940085
1978,1.4,1.2060722860307,0.793612880821398,1.61853169123999
1979,0.35,0.762060230370433,0.349600825161135,1.17451963557973
1980,0.78,0.667398896286774,0.254939491077475,1.07985830149607
1981,0.8,0.836680373574222,0.424220968364924,1.24913977878352
1982,1.11,0.81888053139158,0.406421126182281,1.23133993660088
1983,0.53,0.682167842010498,0.2697084368012,1.0946272472198
1984,0.38,0.716420783959299,0.30396137875,1.1288801891686
1985,1.2,0.786726846340207,0.374267441130909,1.19918625154951
1986,0.82,0.820176826785102,0.407717421575803,1.2326362319944
1987,0.38,0.649979015286768,0.237519610077469,1.06243842049607
1988,0.68,0.428561172302425,0.0161017670931264,0.841020577511724
1989,0.24,0.349846560197975,-0.0626128450113235,0.762305965407273
1990,0.27,0.300359522460545,-0.112099882748753,0.712818927669844
1991,0.35,0.334299829099897,-0.0781595761094014,0.746759234309196
1992,0.46,0.434843416635735,0.0223840114264359,0.847302821845033
1993,0.48,0.46051275431377,0.0480533491044716,0.872972159523069
1994,0.46,0.475632523893172,0.0631731186838731,0.88809192910247
1995,0.46,0.515775998152391,0.103316592943092,0.92823540336169
1996,0.67,0.57228133023896,0.159821925029662,0.984740735448259
1997,0.61,0.63256460570059,0.220105200491291,1.04502401090989
1998,0.76,0.773731277232335,0.361271872023036,1.18619068244163
1999,1.01,1.13083514721722,0.718375742007926,1.54329455242652
2000,1.7,1.63206286670822,1.21960346149892,2.04452227191752
2001,2.16,2.07586305252391,1.66340364731461,2.48832245773321
2002,2.29,2.38126011700214,1.96880071179284,2.79371952221144
2003,2.42,2.42786372136891,2.01540431615961,2.84032312657821
2004,2.43,2.07415248689464,1.66169308168534,2.48661189210394
2005,1.59,1.87713899089962,1.46467958569032,2.28959839610892
2006,1.34,1.98262206230732,1.57016265709802,2.39508146751662
2007,3.17,2.00467239394529,1.59221298873599,2.41713179915459
2008,1.38,1.84278043674257,1.43032103153327,2.25523984195187
2009,1.17,1.45666189661772,1.04420249140842,1.86912130182702
2010,1.57,1.36414136374981,0.951681958540513,1.77660076895911
2011,1.61,1.6087455439394,1.1962861387301,2.0212049491487
2012,1.63,1.58354155506453,1.17108214985523,1.99600096027383
2013,1.48,1.48084857401901,1.06838916880971,1.89330797922831
2014,1.21,1.4002830636638,0.987823658454504,1.8127424688731
2015,1.54,1.19522313385733,0.813308029737905,1.57713823797675
2016,0.94,1.13110095230138,0.775116636013871,1.48708526858889
2017,0.82,1.16740092344913,0.798418119879581,1.53638372701867
2018,1.53,1.30665663314328,0.70409995992939,1.90921330635717
