"Source","Case","FSD","PlanBsmooth"
"Original",1,0.996873113499639,0.965238032336191
"Original",2,1.22808328837599,1.07896052944709
"Original",3,0.846521251004786,0.93102641632053
"Original",4,1.10645524596355,1.03712784648722
"Original",5,0.918626297866956,1.10149011809913
"Original",6,1.01960708197527,1.17394872476242
"Original",7,1.01197206265635,1.0998939706273
"Original Rescaled",1,0.996873113499639,1.05301143814544
"Original Rescaled",2,1.22808328837599,1.23281647335304
"Original Rescaled",3,0.846521251004786,0.921979726236221
"Original Rescaled",4,1.10645524596355,1.17356340013908
"Original Rescaled",5,0.918626297866956,1.14297110240663
"Original Rescaled",6,1.01960708197527,1.35893589940478
"Original Rescaled",7,1.01197206265635,1.23581477552646
"Fall Shifted",1,1.04699622288166,1.00468432523151
"Fall Shifted",2,1.35370280285728,1.26874490556453
"Fall Shifted",3,0.927081005381526,0.919105769068925
"Fall Shifted",4,1.19051321769054,1.16251076870151
"Fall Shifted",5,0.985215870223266,0.977259757872261
"Fall Shifted",6,1.1202643239257,1.22641118538291
"Fall Shifted",7,1.09528895622304,1.14462192382243
"Fall Shifted Rescaled",1,1.04699622288166,1.07981767715789
"Fall Shifted Rescaled",2,1.35370280285728,1.27561898813413
"Fall Shifted Rescaled",3,0.927081005381526,0.853344662100211
"Fall Shifted Rescaled",4,1.19051321769054,1.23555532313215
"Fall Shifted Rescaled",5,0.985215870223266,0.999672056360245
"Fall Shifted Rescaled",6,1.1202643239257,1.2447584563218
"Fall Shifted Rescaled",7,1.09528895622304,1.2031514103791
