"Year","avg","Old.Catch","New.Catch","F.old","F.new"
"2009","31321.5","10392","14307","0.331784876203247","0.456778889899909"
"2010","25975.5","10940","15408","0.421166098823892","0.593174337356355"
"2011","36080.5","12399","17487","0.343648231038927","0.484666232452433"
"2012","30414.5","10340","16163","0.339969422479409","0.531424156241266"
"2013","28514.5","10668","17483","0.374125444949061","0.613126654859808"
"2014","26979.5","10107","15275","0.374617765340351","0.566170611019478"
"2015","30845","8333","12498","0.270157237801913","0.405187226454855"
"2016","20582","7784","11796","0.378194538917501","0.573122145564085"
"2017","14992.0425531915","5439","9611","0.362792460113592","0.641073420509604"
"mean",NA,NA,NA,"0.355161786185321","0.540524852706421"
