"Year","avg.shifted","Old.Catch","New.Catch","F.old","F.new"
"2009","25954","10392","14307","0.400400708946598","0.551244509516837"
"2010","35356.5","10940","15408","0.309419767228091","0.435789741631666"
"2011","26087.5","12399","17487","0.47528509822712","0.670321034978438"
"2012","34875.5","10340","16163","0.29648320454187","0.463448552708922"
"2013","30008","10668","17483","0.355505198613703","0.582611303652359"
"2014","25479.5","10107","15275","0.396671834219667","0.599501560077709"
"2015","31858.5","8333","12498","0.26156284821947","0.392297189133198"
"2016","22081.5","7784","11796","0.352512284038675","0.534202839481014"
"2017","19485.0212765957","5439","9611","0.27913749350292","0.493250680282508"
"mean",NA,NA,NA,"0.347442048615346","0.52474082349585"
